Timiș	7.41	87.6	89	1.7
Tulcea	8.46	100.0	21	1.4
Vaslui	7.79	94.1	85	2.6
Suceava	8.47	100.0	128	2.0
Satu-Mare	8.32	100.0	79	3.0
Vrancea	8.99	100.0	64	2.4
Teleorman	7.87	97.0	66	1.9
Vâlcea	9.06	100.0	60	1.6
Prahova	8.27	98.4	306	4.6
Iași	8.73	100.0	141	2.3
Sibiu	7.96	96.8	31	1.1
Neamț	8.88	97.8	92	2.0
Sălaj	7.54	100.0	19	0.9
Olt	8.34	100.0	56	1.4
Mehedinți	7.96	94.2	86	3.5
Mureș	7.19	91.7	120	2.8
Maramureș	8.26	94.3	70	1.6
Ialomița	7.98	96.3	54	2.7
Dolj	7.85	93.9	66	1.2
Dâmbovița	8.59	100.0	72	1.6
Galați	7.90	94.9	217	5.1
Covasna	8.08	100.0	25	1.6
Gorj	8.31	94.8	77	1.7
Constanța	8.03	94.6	111	1.7
Giurgiu	8.10	91.7	12	0.6
Hunedoara	7.70	97.0	100	2.5
Ilfov	8.14	83.3	6	0.4
Harghita	6.78	97.0	33	1.2
Botoșani	8.83	100.0	63	1.9
Bacău	8.19	96.2	186	3.9
Buzău	8.76	100.0	122	3.6
Brăila	8.33	100.0	137	6.6
Bistrița-Năsăud	8.63	100.0	43	1.7
Brașov	8.10	97.9	144	4.0
Călărași	9.22	100.0	37	2.0
Cluj	7.98	98.6	138	2.8
Caraș-Severin	6.91	84.2	19	0.9
Bihor	8.25	95.8	96	1.8
Alba	8.57	100.0	46	1.5
București	8.44	98.0	649	3.7
Arad	8.22	100.0	68	1.9
Argeș	8.30	98.0	147	2.7
