Tulcea	4.39	19.2	26	1.8
Timiș	4.17	33.9	59	1.1
Satu-Mare	4.41	45.7	35	1.3
Vaslui	4.16	31.9	47	1.5
Suceava	4.16	32.6	95	1.5
Vrancea	6.32	86.1	79	3.0
Vâlcea	6.32	77.2	79	2.1
Teleorman	3.30	17.9	28	0.8
Neamț	4.81	48.7	76	1.7
Sălaj	4.81	44.9	49	2.3
Iași	4.72	33.7	190	3.1
Mureș	4.59	47.8	67	1.6
Ialomița	4.07	43.3	30	1.5
Sibiu	5.36	43.3	67	2.5
Mehedinți	4.60	47.2	36	1.5
Olt	3.33	20.3	64	1.6
Prahova	5.18	45.2	104	1.6
Maramureș	4.81	47.8	67	1.6
Gorj	3.50	26.1	153	3.4
Constanța	4.68	46.2	286	4.5
Dolj	3.52	15.3	98	1.8
Dâmbovița	3.65	29.8	47	1.1
Galați	5.12	58.7	63	1.5
Harghita	3.91	30.8	39	1.5
Hunedoara	4.29	36.0	75	1.9
Covasna	5.45	61.5	13	0.9
Ilfov	4.50	30.0	20	1.2
Giurgiu	3.10	4.8	42	2.0
Buzău	4.43	57.7	52	1.5
Bacău	6.40	65.3	95	2.0
Botoșani	4.93	50.0	14	0.4
Caraș-Severin	5.25	36.4	11	0.5
Brașov	4.92	56.8	37	1.0
Cluj	6.08	74.8	103	2.1
Bihor	5.29	57.8	45	0.8
Bistrița-Năsăud	3.21	19.6	56	2.2
Călărași	3.59	21.7	23	1.2
Brăila	4.75	53.3	30	1.4
București	3.66	28.6	437	2.5
Alba	3.29	23.1	13	0.4
Arad	4.71	45.5	33	0.9
Argeș	5.48	61.8	157	2.9
