Timiș	6.88	61.0	5200	100.0
Tulcea	7.09	68.3	1450	100.0
Vaslui	6.95	66.4	3229	100.0
Suceava	6.98	66.9	6345	100.0
Satu-Mare	7.13	71.7	2666	100.0
Teleorman	5.73	40.3	3473	100.0
Vrancea	7.14	67.9	2626	100.0
Vâlcea	6.77	62.5	3702	100.0
Iași	7.41	73.2	6060	100.0
Sălaj	6.66	58.6	2088	100.0
Neamț	7.09	66.8	4493	100.0
Mehedinți	6.20	50.2	2440	100.0
Sibiu	7.33	73.1	2711	100.0
Prahova	7.28	72.3	6595	100.0
Olt	6.39	52.9	4076	100.0
Maramureș	6.90	63.8	4301	100.0
Mureș	7.01	66.8	4277	100.0
Ialomița	6.91	64.4	2026	100.0
Dâmbovița	6.62	58.4	4393	100.0
Dolj	6.56	56.9	5593	100.0
Gorj	6.26	50.5	4556	100.0
Covasna	6.73	60.9	1521	100.0
Constanța	6.39	53.6	6376	100.0
Galați	7.22	72.9	4269	100.0
Giurgiu	5.48	34.8	2098	100.0
Hunedoara	6.90	65.6	3977	100.0
Harghita	6.42	52.4	2646	100.0
Ilfov	5.72	37.8	1703	100.0
Buzău	6.94	68.4	3429	100.0
Brăila	7.34	77.8	2072	100.0
Bistrița-Năsăud	7.05	66.9	2561	100.0
Bacău	7.39	76.5	4722	100.0
Botoșani	7.22	70.4	3235	100.0
Bihor	6.83	62.5	5480	100.0
Caraș-Severin	6.51	56.8	2183	100.0
Călărași	6.29	53.2	1847	100.0
Brașov	7.44	77.8	3572	100.0
Cluj	7.53	81.3	4955	100.0
Alba	7.27	72.3	3028	100.0
București	7.01	67.4	17660	100.0
Arad	6.54	57.0	3520	100.0
Argeș	6.83	66.3	5465	100.0
