Argeș	8.13	89.8	568	12.3
Iași	8.00	89.0	981	20.1
Dâmbovița	6.47	74.3	728	20.8
Mureș	7.84	86.9	687	19.2
Cluj	8.86	96.6	561	14.0
Ialomița	7.48	90.3	435	26.8
Sibiu	8.91	98.1	156	7.0
Mehedinți	7.13	77.1	398	20.7
Alba	8.09	89.3	298	11.6
Arad	7.45	85.9	554	18.1
Botoșani	7.51	82.0	871	32.9
Suceava	7.92	89.7	1226	23.3
Olt	7.03	79.8	738	23.8
Maramureș	7.51	89.2	555	15.7
Dolj	7.40	82.7	1168	26.7
Bihor	7.19	79.9	1201	28.6
București	7.33	83.7	1825	12.5
Giurgiu	5.70	67.1	173	10.2
Vrancea	7.39	81.6	152	6.9
Caraș-Severin	7.44	85.9	376	21.0
Galați	7.64	87.1	804	23.4
Sălaj	8.23	93.6	360	19.9
Bacău	8.23	94.3	599	16.2
Satu-Mare	8.29	95.2	398	20.2
Covasna	8.30	98.9	264	20.2
Harghita	8.21	94.6	386	16.2
Gorj	7.41	84.3	801	21.8
Constanța	7.51	81.4	1180	23.3
Prahova	8.33	92.1	341	6.5
Neamț	7.06	79.0	830	23.0
Ilfov	6.69	67.1	82	5.8
Buzău	7.25	87.8	205	7.3
Bistrița-Năsăud	7.80	87.4	636	29.4
Hunedoara	7.96	91.7	660	21.5
Teleorman	6.05	68.6	510	19.3
Brăila	7.52	92.4	158	9.5
Tulcea	8.08	87.4	254	20.2
Timiș	7.98	91.2	604	14.0
Vaslui	7.68	89.1	470	17.2
Călărași	6.59	84.5	193	12.9
Vâlcea	7.45	83.6	805	27.2
Brașov	8.24	93.5	397	13.0
