Sibiu	8.79	96.6	234	10.6
Cluj	8.75	96.9	573	14.3
Prahova	8.71	96.3	1283	24.3
Galați	8.56	96.3	701	20.4
Neamț	8.30	91.0	332	9.2
Argeș	8.87	95.1	655	14.2
Suceava	8.13	91.1	977	18.6
Bihor	8.79	98.0	306	7.3
Bacău	8.84	96.1	414	11.2
Constanța	8.12	90.8	610	12.1
Vaslui	8.31	91.7	840	30.8
Iași	8.24	96.0	348	7.1
Hunedoara	8.01	92.4	79	2.6
Botoșani	8.57	94.3	488	18.4
Dolj	8.47	92.1	631	14.4
Caraș-Severin	8.87	99.3	147	8.2
Gorj	8.63	100.0	26	0.7
Ialomița	9.00	97.8	138	8.5
Mehedinți	8.74	95.2	165	8.6
Harghita	8.74	97.4	39	1.6
Mureș	8.59	93.8	112	3.1
Vrancea	8.61	96.9	65	3.0
Dâmbovița	8.13	95.5	89	2.5
București	8.48	95.9	755	5.2
Alba	8.40	95.7	258	10.1
Olt	8.41	95.2	187	6.0
Covasna	8.78	100.0	26	2.0
Brăila	7.94	91.1	90	5.4
Maramureș	8.61	97.1	441	12.4
Vâlcea	9.06	90.3	31	1.0
Tulcea	8.11	97.4	116	9.2
Teleorman	8.09	93.3	120	4.5
Buzău	8.68	95.6	181	6.5
Arad	9.07	100.0	50	1.6
Bistrița-Năsăud	8.88	92.8	69	3.2
Giurgiu	8.13	96.2	26	1.5
Brașov	8.76	98.6	222	7.3
Ilfov	2.86	16.7	18	1.3
Timiș	8.24	87.3	71	1.6
Satu-Mare	8.55	100.0	8	0.4
Călărași	7.57	91.7	12	0.8
Sălaj	9.27	100.0	3	0.2
