Argeș	7.05	82.0	566	12.3
Harghita	7.43	87.0	424	17.8
Sibiu	8.46	97.3	414	18.7
Cluj	8.26	97.1	699	17.4
Dolj	7.22	85.1	598	13.7
Iași	7.60	87.8	654	13.4
Ialomița	6.56	82.8	180	11.1
Mehedinți	4.92	52.7	167	8.7
Alba	7.93	94.8	327	12.8
Hunedoara	7.13	86.2	479	15.6
Prahova	7.38	88.0	566	10.7
Botoșani	6.96	82.0	532	20.1
Maramureș	6.58	79.7	439	12.4
Vrancea	6.98	79.9	214	9.8
București	6.70	78.3	1251	8.6
Mureș	7.49	88.8	663	18.6
Giurgiu	3.78	41.6	173	10.2
Suceava	7.16	86.5	614	11.7
Satu-Mare	7.56	93.5	336	17.0
Bacău	7.56	91.6	417	11.3
Caraș-Severin	6.04	66.5	260	14.5
Covasna	8.01	96.8	249	19.1
Galați	7.88	92.9	508	14.8
Arad	6.63	76.5	353	11.5
Sălaj	6.17	72.8	276	15.2
Teleorman	3.22	30.0	160	6.1
Gorj	6.85	82.4	397	10.8
Olt	6.10	72.4	388	12.5
Constanța	6.79	76.0	969	19.2
Ilfov	3.76	35.9	167	11.9
Bistrița-Năsăud	7.16	86.0	428	19.8
Vaslui	7.74	89.0	328	12.0
Bihor	6.18	74.5	703	16.8
Dâmbovița	5.56	63.0	297	8.5
Călărași	5.42	58.9	112	7.5
Timiș	6.88	82.2	484	11.2
Tulcea	7.60	93.5	123	9.8
Brăila	7.31	90.9	263	15.8
Buzău	6.87	84.1	328	11.7
Neamț	8.02	90.6	223	6.2
Vâlcea	6.85	77.1	567	19.2
Brașov	8.28	96.9	604	19.7
