Mehedinți	3.91	22.3	394	21.9
Sibiu	6.65	67.8	707	28.8
Tulcea	5.41	40.5	153	12.0
Buzău	5.83	54.6	489	17.5
Dâmbovița	4.82	42.5	584	18.3
București	5.18	44.5	1958	13.4
Dolj	4.53	33.2	662	15.3
Constanța	5.01	43.4	1025	20.2
Olt	4.45	32.5	394	13.5
Călărași	4.71	37.7	422	26.5
Argeș	5.82	56.4	1425	29.8
Bacău	5.55	53.3	330	8.5
Caraș-Severin	5.60	47.0	562	30.4
Mureș	5.29	49.3	499	14.0
Alba	5.75	53.3	518	20.8
Sălaj	5.19	45.5	444	24.5
Maramureș	5.18	47.6	555	16.1
Arad	4.85	40.2	495	16.4
Prahova	5.57	53.5	1461	28.2
Suceava	4.90	37.6	607	11.1
Iași	5.39	44.6	547	10.4
Gorj	4.75	42.8	948	28.1
Teleorman	4.49	34.8	489	19.8
Giurgiu	4.50	35.2	287	20.4
Vrancea	5.67	52.6	409	18.5
Ilfov	4.75	40.1	441	36.1
Galați	5.07	43.2	384	11.0
Vaslui	4.67	34.6	301	10.5
Satu-Mare	5.54	52.5	204	10.5
Botoșani	4.18	31.0	197	7.0
Hunedoara	5.21	44.8	424	14.8
Bistrița-Năsăud	5.26	49.8	203	9.6
Neamț	4.81	35.6	553	14.7
Covasna	5.45	59.4	155	13.2
Cluj	5.98	58.5	458	10.9
Ialomița	4.05	29.7	296	16.7
Timiș	5.41	48.1	956	22.4
Bihor	4.62	39.0	403	9.8
Harghita	5.98	62.1	354	15.8
Vâlcea	4.28	31.1	488	16.8
Brăila	6.36	67.7	322	18.4
Brașov	6.07	57.2	474	15.6
