Iași	7.20	97.0	66	1.3
București	7.49	95.7	92	0.6
Maramureș	7.54	90.0	20	0.6
Olt	-	0.0	1	0.0
Ilfov	6.54	89.3	28	2.3
Arad	7.57	93.3	15	0.5
Botoșani	8.21	97.4	39	1.4
Hunedoara	7.16	92.6	27	0.9
Bacău	7.47	97.4	39	1.0
Tulcea	6.63	84.0	25	2.0
Cluj	8.14	98.9	89	2.1
Brașov	8.40	96.6	58	1.9
Suceava	8.06	100.0	42	0.8
Bihor	7.20	75.0	8	0.2
Satu-Mare	7.79	95.8	24	1.2
Mureș	7.38	100.0	4	0.1
Alba	7.84	93.5	31	1.2
Harghita	7.76	83.3	6	0.3
Dâmbovița	7.45	85.7	21	0.7
Prahova	7.40	98.6	73	1.4
Vrancea	6.93	90.0	10	0.5
Teleorman	5.38	50.0	2	0.1
Sibiu	7.84	81.8	11	0.4
Galați	7.81	80.0	5	0.1
Covasna	7.53	100.0	26	2.2
Bistrița-Năsăud	8.66	100.0	6	0.3
Argeș	7.58	100.0	22	0.5
Constanța	7.79	100.0	8	0.2
Mehedinți	8.63	100.0	16	0.9
Vaslui	7.17	100.0	12	0.4
Brăila	8.80	100.0	2	0.1
Giurgiu	6.60	100.0	2	0.1
Timiș	7.50	100.0	9	0.2
Sălaj	8.04	100.0	9	0.5
Neamț	6.42	85.7	7	0.2
Dolj	9.15	100.0	2	0.0
Călărași	9.50	100.0	1	0.1
Vâlcea	8.72	100.0	5	0.2
Gorj	5.00	100.0	1	0.0
