Bistrița-Năsăud	5.78	100.0	4	0.2
Gorj	8.17	88.0	25	0.7
Prahova	7.97	100.0	44	0.8
Brașov	6.59	75.0	16	0.5
Olt	8.09	91.7	24	0.8
Mehedinți	7.70	86.7	15	0.8
Argeș	8.12	91.8	61	1.3
Suceava	8.32	93.3	15	0.3
Brăila	6.40	73.1	26	1.5
București	7.85	93.8	324	2.2
Vaslui	8.12	100.0	16	0.6
Tulcea	7.91	100.0	8	0.6
Bacău	7.31	87.5	16	0.4
Timiș	4.53	46.7	15	0.4
Galați	7.46	89.5	38	1.1
Cluj	6.06	68.2	22	0.5
Dolj	8.71	100.0	34	0.8
Dâmbovița	7.62	87.0	23	0.7
Buzău	9.12	100.0	30	1.1
Sibiu	6.85	93.8	16	0.7
Arad	7.80	100.0	1	0.0
Satu-Mare	6.80	90.9	11	0.6
Constanța	6.76	62.5	16	0.3
Iași	7.98	95.2	21	0.4
Maramureș	6.43	77.8	18	0.5
Teleorman	8.11	96.0	25	1.0
Harghita	7.63	100.0	6	0.3
Ialomița	7.83	100.0	5	0.3
Hunedoara	5.86	72.7	11	0.4
Covasna	7.30	100.0	2	0.2
Ilfov	2.97	0.0	4	0.3
Călărași	8.39	95.0	20	1.3
Mureș	7.06	100.0	8	0.2
Botoșani	5.80	50.0	2	0.1
Neamț	8.89	100.0	12	0.3
Giurgiu	8.82	100.0	9	0.6
Vrancea	8.67	100.0	37	1.7
Bihor	7.90	100.0	7	0.2
Vâlcea	7.59	88.2	34	1.2
Caraș-Severin	5.00	100.0	1	0.1
