Alba	5.33	53.8	13	0.5
Argeș	5.98	67.4	46	1.0
Arad	5.81	58.3	24	0.8
București	4.79	47.4	57	0.4
Bacău	5.86	75.9	54	1.4
Bihor	5.65	100.0	1	0.0
Bistrița-Năsăud	5.09	53.8	13	0.6
Brăila	5.20	50.0	2	0.1
Botoșani	5.20	47.8	23	0.8
Brașov	6.26	81.2	48	1.5
Buzău	6.25	100.0	11	0.4
Cluj	6.47	85.7	77	1.8
Călărași	5.35	100.0	2	0.1
Caraș-Severin	3.14	20.0	5	0.3
Constanța	4.97	56.4	39	0.8
Covasna	5.78	66.7	21	1.8
Dâmbovița	5.13	50.0	8	0.3
Dolj	5.09	71.4	14	0.3
Gorj	4.91	75.0	8	0.2
Galați	6.66	85.7	21	0.6
Hunedoara	5.79	74.3	35	1.2
Harghita	5.20	100.0	1	0.0
Ilfov	2.95	0.0	1	0.1
Ialomița	4.10	33.3	15	0.9
Iași	5.87	73.6	91	1.7
Mehedinți	7.85	91.7	12	0.7
Maramureș	4.44	57.1	7	0.2
Mureș	5.12	62.5	24	0.7
Neamț	6.50	64.8	54	1.5
Olt	7.10	100.0	1	0.0
Prahova	6.15	78.0	41	0.8
Sibiu	6.09	67.6	34	1.4
Sălaj	5.85	81.8	11	0.6
Satu-Mare	6.75	100.0	2	0.1
Suceava	5.28	80.0	15	0.3
Tulcea	4.50	0.0	1	0.1
Timiș	5.54	50.0	10	0.2
Teleorman	3.55	0.0	1	0.0
Vâlcea	5.41	50.0	8	0.3
Vrancea	5.29	70.4	27	1.2
Vaslui	5.39	56.2	32	1.1
