Alba	7.61	100.0	21	0.8
Argeș	6.20	100.0	1	0.0
Arad	7.32	100.0	7	0.2
București	7.56	89.8	59	0.3
Bacău	7.16	80.0	5	0.1
Bihor	7.52	94.9	39	0.8
Bistrița-Năsăud	8.61	100.0	29	1.2
Brăila	8.67	100.0	10	0.5
Botoșani	9.56	100.0	7	0.2
Buzău	8.41	77.8	9	0.3
Cluj	8.78	100.0	42	0.9
Caraș-Severin	7.76	85.7	7	0.3
Constanța	7.38	66.7	3	0.0
Covasna	9.00	100.0	20	1.4
Dâmbovița	7.63	81.8	11	0.3
Dolj	7.78	100.0	4	0.1
Gorj	9.10	100.0	12	0.3
Galați	7.88	90.9	11	0.3
Giurgiu	9.20	100.0	1	0.1
Hunedoara	7.71	85.7	7	0.2
Harghita	8.26	90.0	10	0.4
Ilfov	10.00	100.0	1	0.1
Ialomița	9.10	100.0	1	0.1
Iași	8.13	94.4	18	0.3
Mehedinți	10.00	100.0	1	0.0
Maramureș	7.11	88.5	26	0.6
Mureș	6.62	66.7	6	0.1
Neamț	8.72	100.0	8	0.2
Olt	5.88	72.7	11	0.4
Prahova	9.60	100.0	2	0.0
Sibiu	7.33	66.7	3	0.1
Sălaj	6.76	75.0	4	0.2
Satu-Mare	7.44	97.7	43	2.0
Suceava	7.90	96.2	26	0.4
Tulcea	8.46	100.0	4	0.3
Timiș	7.32	80.0	5	0.1
Teleorman	8.46	100.0	10	0.4
Vâlcea	8.25	100.0	4	0.1
Vrancea	8.06	100.0	11	0.4
Vaslui	7.99	100.0	4	0.1
