Alba	9.16	100.0	119	4.3
Argeș	8.13	91.5	399	7.8
Arad	8.28	97.6	83	2.4
București	8.40	93.9	1466	8.3
Bacău	8.19	94.7	262	6.0
Bihor	8.23	100.0	49	1.0
Bistrița-Năsăud	8.71	95.0	20	0.8
Brăila	8.58	96.0	150	7.1
Botoșani	8.09	92.3	117	3.6
Brașov	8.22	95.7	92	2.5
Buzău	8.15	94.2	240	8.1
Cluj	8.44	97.4	195	4.3
Călărași	8.07	91.8	98	5.5
Caraș-Severin	7.82	88.2	17	0.8
Constanța	8.33	95.0	380	6.2
Covasna	8.67	97.2	36	2.6
Dâmbovița	8.43	97.2	181	4.9
Dolj	8.66	96.6	234	4.8
Gorj	8.57	94.8	115	2.9
Galați	8.52	95.8	212	5.4
Giurgiu	7.40	89.9	99	6.3
Hunedoara	8.13	90.9	66	1.9
Harghita	8.12	96.7	30	1.2
Ilfov	6.86	60.0	5	0.3
Ialomița	8.06	90.9	143	7.4
Iași	8.05	89.9	178	3.0
Mehedinți	8.55	96.3	81	3.4
Maramureș	8.24	91.7	48	1.2
Mureș	8.84	97.3	74	1.8
Neamț	8.30	97.7	132	3.5
Olt	8.41	94.2	242	7.7
Prahova	8.70	98.3	464	8.0
Sibiu	8.48	94.1	85	3.1
Sălaj	8.56	96.2	52	2.8
Satu-Mare	8.22	100.0	24	1.1
Suceava	8.80	97.0	231	3.7
Tulcea	8.71	93.5	46	3.2
Timiș	8.12	96.0	50	1.0
Teleorman	8.26	95.1	82	3.4
Vâlcea	8.85	97.0	199	6.2
Vrancea	8.88	100.0	133	5.2
Vaslui	7.83	94.1	102	3.3
