Alba	7.84	93.2	688	25.1
Argeș	7.41	86.5	547	10.8
Arad	7.16	85.2	1329	39.2
București	7.67	88.7	4874	27.5
Bacău	7.49	88.2	1376	31.7
Bihor	7.44	88.2	1752	37.2
Bistrița-Năsăud	7.23	86.1	973	40.5
Brăila	7.57	91.6	789	37.4
Botoșani	7.39	86.4	631	19.5
Brașov	7.49	89.8	1017	28.0
Buzău	7.27	87.0	817	27.5
Cluj	7.80	92.3	1380	30.1
Călărași	6.95	81.8	704	39.8
Caraș-Severin	6.98	82.4	455	21.0
Constanța	6.86	79.5	1332	21.9
Covasna	7.59	92.6	632	45.4
Dâmbovița	7.62	87.1	1516	41.3
Dolj	7.28	85.4	1089	22.1
Gorj	7.48	86.4	1068	26.9
Galați	7.53	87.2	664	16.8
Giurgiu	6.90	80.8	730	46.1
Hunedoara	7.19	86.1	1346	39.5
Harghita	7.82	95.2	1094	45.3
Ilfov	6.44	77.1	717	44.0
Ialomița	7.16	81.8	384	20.0
Iași	7.97	94.0	1961	33.5
Mehedinți	7.27	87.0	598	25.2
Maramureș	7.30	86.5	1359	33.8
Mureș	7.70	92.8	1686	40.3
Neamț	7.53	89.3	1176	30.8
Olt	7.35	84.2	1158	37.0
Prahova	7.38	86.7	679	11.7
Sibiu	7.80	89.8	842	31.1
Sălaj	7.71	89.2	590	31.9
Satu-Mare	7.47	89.4	1016	47.1
Suceava	7.47	85.0	1668	26.5
Tulcea	7.18	82.9	468	32.3
Timiș	7.47	87.2	2077	41.7
Teleorman	7.07	79.4	1011	41.3
Vâlcea	7.46	87.4	958	29.8
Vrancea	7.67	87.6	1192	46.8
Vaslui	7.30	85.9	765	24.6
