Alba	8.86	99.4	180	6.6
Argeș	8.09	97.5	203	4.0
Arad	8.34	100.0	156	4.6
București	8.03	94.4	1125	6.4
Bacău	7.91	94.7	282	6.5
Bihor	7.83	95.0	282	6.0
Bistrița-Năsăud	8.69	100.0	110	4.6
Brăila	8.24	98.3	60	2.8
Botoșani	7.87	94.8	134	4.1
Brașov	8.47	98.5	268	7.4
Buzău	8.34	97.7	88	3.0
Cluj	8.75	99.4	342	7.5
Călărași	7.74	95.0	20	1.1
Caraș-Severin	7.64	95.8	120	5.6
Constanța	8.16	95.9	122	2.0
Covasna	8.16	100.0	36	2.6
Dâmbovița	7.77	96.7	92	2.5
Dolj	8.24	96.3	217	4.4
Gorj	8.41	99.3	139	3.5
Galați	8.24	96.6	207	5.2
Giurgiu	6.67	77.8	9	0.6
Hunedoara	8.04	94.3	176	5.2
Harghita	7.95	96.0	101	4.2
Ilfov	5.86	66.7	9	0.6
Ialomița	8.61	100.0	21	1.1
Iași	8.35	96.8	441	7.5
Mehedinți	8.11	93.2	44	1.9
Maramureș	7.82	94.4	216	5.4
Mureș	7.96	92.1	151	3.6
Neamț	8.53	95.6	229	6.0
Olt	8.39	100.0	44	1.4
Prahova	8.20	98.8	256	4.4
Sibiu	8.65	98.2	112	4.1
Sălaj	7.99	96.7	91	4.9
Satu-Mare	8.35	99.0	101	4.7
Suceava	8.14	96.9	323	5.1
Tulcea	7.76	94.1	17	1.2
Timiș	7.90	94.3	299	6.0
Teleorman	7.69	89.7	29	1.2
Vâlcea	8.90	93.9	82	2.6
Vrancea	8.00	87.1	31	1.2
Vaslui	8.60	99.2	128	4.1
