Alba	8.25	97.6	716	26.1
Argeș	7.56	91.6	1478	29.1
Arad	7.24	88.2	985	29.0
București	7.64	91.9	5999	33.9
Bacău	7.55	91.8	1545	35.5
Bihor	7.63	93.6	1384	29.4
Bistrița-Năsăud	7.64	96.1	637	26.5
Brăila	7.82	95.6	700	33.2
Botoșani	7.19	89.5	973	30.0
Brașov	8.11	96.5	917	25.3
Buzău	7.73	93.6	1213	40.8
Cluj	7.94	96.4	1678	36.6
Călărași	7.30	90.5	493	27.9
Caraș-Severin	7.59	94.1	529	24.5
Constanța	7.32	89.1	1317	21.6
Covasna	7.43	97.5	530	38.1
Dâmbovița	7.49	91.1	1328	36.2
Dolj	7.72	92.5	1472	29.9
Gorj	7.12	87.5	855	21.6
Galați	7.79	92.2	959	24.3
Giurgiu	6.44	83.1	522	33.0
Hunedoara	7.79	95.6	869	25.5
Harghita	7.13	95.3	745	30.8
Ilfov	5.84	72.2	580	35.6
Ialomița	7.69	91.6	427	22.2
Iași	7.96	96.8	1484	25.3
Mehedinți	7.52	92.4	603	25.4
Maramureș	7.17	91.1	1303	32.4
Mureș	7.33	94.8	1217	29.1
Neamț	7.76	92.3	1061	27.8
Olt	7.44	94.6	1046	33.4
Prahova	8.15	96.3	1210	20.8
Sibiu	7.58	93.5	755	27.9
Sălaj	7.59	93.2	397	21.5
Satu-Mare	7.15	92.9	799	37.0
Suceava	7.22	86.2	2032	32.3
Tulcea	7.31	89.6	470	32.5
Timiș	7.07	88.0	1560	31.3
Teleorman	6.74	81.0	979	40.0
Vâlcea	7.29	88.9	813	25.3
Vrancea	7.56	91.1	867	34.1
Vaslui	7.32	90.6	1202	38.7
