Alba	8.04	92.8	528	19.3
Argeș	7.45	88.1	840	16.5
Arad	6.34	76.0	530	15.6
București	7.34	85.5	4351	24.6
Bacău	7.26	85.9	807	18.6
Bihor	6.53	75.4	912	19.3
Bistrița-Năsăud	7.62	89.2	279	11.6
Brăila	7.32	84.7	359	17.0
Botoșani	7.11	81.5	496	15.3
Brașov	7.83	93.0	558	15.4
Buzău	7.31	87.8	526	17.7
Cluj	8.56	97.9	724	15.8
Călărași	6.38	72.4	326	18.4
Caraș-Severin	6.38	71.5	369	17.1
Constanța	7.75	91.6	711	11.7
Covasna	7.48	92.9	156	11.2
Dâmbovița	6.67	76.1	765	20.9
Dolj	7.32	86.7	855	17.4
Gorj	7.03	80.7	513	12.9
Galați	7.62	90.8	683	17.3
Giurgiu	6.11	73.4	192	12.1
Hunedoara	6.98	81.6	554	16.3
Harghita	7.29	90.8	260	10.8
Ilfov	5.49	62.9	116	7.1
Ialomița	7.28	87.7	398	20.7
Iași	8.26	95.2	921	15.7
Mehedinți	5.35	59.6	475	20.0
Maramureș	7.44	87.5	545	13.5
Mureș	7.42	84.8	349	8.3
Neamț	8.09	94.9	573	15.0
Olt	6.80	77.2	535	17.1
Prahova	7.68	90.1	1212	20.8
Sibiu	8.16	96.5	198	7.3
Sălaj	7.02	84.2	386	20.9
Satu-Mare	7.48	89.8	334	15.5
Suceava	7.32	85.6	1177	18.7
Tulcea	5.96	67.1	210	14.5
Timiș	7.18	84.4	865	17.4
Teleorman	5.71	70.5	645	26.4
Vâlcea	8.07	90.5	348	10.8
Vrancea	7.79	86.9	297	11.7
Vaslui	7.31	85.0	319	10.3
