Alba	6.70	88.4	86	3.1
Argeș	8.30	98.2	56	1.1
Arad	8.21	100.0	28	0.8
București	8.92	97.3	37	0.2
Bacău	7.85	100.0	52	1.2
Bihor	7.42	86.2	80	1.7
Bistrița-Năsăud	7.94	100.0	52	2.2
Brăila	8.31	100.0	56	2.7
Botoșani	8.40	100.0	56	1.7
Brașov	6.91	88.9	54	1.5
Buzău	8.33	100.0	54	1.8
Cluj	7.97	97.6	83	1.8
Călărași	5.00	60.4	53	3.0
Caraș-Severin	7.91	96.7	30	1.4
Constanța	7.00	88.9	72	1.2
Covasna	6.65	86.8	38	2.7
Dâmbovița	8.66	100.0	50	1.4
Dolj	8.92	100.0	56	1.1
Gorj	8.63	100.0	28	0.7
Galați	9.07	100.0	28	0.7
Giurgiu	7.63	93.8	32	2.0
Hunedoara	8.46	100.0	56	1.6
Harghita	6.56	83.8	74	3.1
Ilfov	6.64	81.2	16	1.0
Ialomița	8.06	100.0	59	3.1
Iași	8.14	99.1	116	2.0
Mehedinți	7.65	94.7	57	2.4
Maramureș	5.58	71.6	88	2.2
Mureș	7.50	98.3	58	1.4
Neamț	7.96	99.0	97	2.5
Olt	7.69	96.4	56	1.8
Prahova	8.94	100.0	54	0.9
Sibiu	7.43	97.6	83	3.1
Sălaj	8.11	94.7	57	3.1
Satu-Mare	7.96	100.0	27	1.3
Suceava	8.34	98.2	56	0.9
Tulcea	7.03	92.6	27	1.9
Timiș	8.46	96.3	27	0.5
Teleorman	7.49	96.6	58	2.4
Vâlcea	8.73	100.0	29	0.9
Vrancea	7.30	90.2	51	2.0
Vaslui	6.93	87.0	54	1.7
