Cluj	6.88	85.1	944	23.6
Gorj	5.30	63.2	1229	41.5
Galați	6.49	81.7	1146	36.0
Neamț	6.04	71.2	1226	37.9
Vrancea	5.98	67.3	813	38.5
Suceava	5.89	69.5	1665	33.7
Iași	6.84	82.7	1980	39.0
Mureș	5.86	71.0	1095	33.7
Maramureș	5.93	69.5	1063	32.8
Constanța	5.81	69.9	1906	40.3
Dâmbovița	5.17	57.8	739	25.5
Sălaj	5.53	61.3	525	33.8
București	6.14	73.1	3654	23.7
Brașov	6.38	79.6	983	31.3
Vaslui	5.45	60.5	709	28.4
Bistrița-Năsăud	5.76	66.5	722	35.5
Vâlcea	5.89	71.2	815	34.1
Prahova	6.55	80.0	2066	42.8
Caraș-Severin	4.99	54.5	585	34.7
Argeș	6.03	74.1	1351	31.8
Teleorman	3.81	35.0	386	21.0
Bihor	5.86	72.2	917	25.5
Buzău	5.91	66.7	633	24.8
Hunedoara	5.36	61.8	740	31.4
Timiș	5.80	65.7	1474	35.4
Botoșani	5.63	64.3	731	26.5
Olt	4.85	50.3	640	26.5
Sibiu	6.69	81.6	911	39.4
Alba	5.90	68.2	767	33.5
Bacău	6.36	80.0	1002	27.0
Giurgiu	5.10	55.1	350	32.0
Tulcea	5.31	56.5	391	35.0
Ialomița	4.36	42.0	471	30.4
Dolj	4.81	50.9	1087	27.6
Arad	5.19	58.2	949	35.3
Ilfov	4.84	55.8	330	30.3
Covasna	5.62	71.4	210	19.5
Harghita	6.07	75.7	704	34.3
Satu-Mare	5.84	68.9	499	26.9
Mehedinți	4.49	50.4	579	33.4
Brăila	6.18	79.4	321	20.2
Călărași	4.73	48.5	408	31.8
