București	7.93	94.6	1074	7.0
Hunedoara	8.47	97.2	72	3.1
Sălaj	8.22	96.2	80	5.2
Suceava	7.85	95.1	61	1.2
Timiș	7.23	94.5	55	1.3
Dâmbovița	6.83	87.0	54	1.9
Arad	8.16	96.0	100	3.7
Constanța	6.87	76.7	43	0.9
Vâlcea	8.38	100.0	71	3.0
Cluj	8.23	97.6	42	1.0
Iași	8.75	100.0	35	0.7
Vrancea	8.53	100.0	37	1.8
Gorj	8.69	96.7	30	1.0
Galați	8.91	100.0	14	0.4
Argeș	7.56	89.3	84	2.0
Bistrița-Năsăud	8.35	98.6	69	3.4
Călărași	7.56	93.8	161	12.5
Neamț	7.84	95.5	89	2.8
Alba	6.86	100.0	24	1.0
Bacău	7.59	93.8	80	2.2
Caraș-Severin	7.39	91.4	35	2.1
Covasna	8.32	95.8	24	2.2
Mureș	7.22	87.5	40	1.2
Prahova	8.31	96.2	79	1.6
Brăila	8.04	100.0	56	3.5
Maramureș	7.79	97.4	38	1.2
Mehedinți	7.62	95.7	23	1.3
Teleorman	5.99	61.5	78	4.3
Olt	6.84	88.9	45	1.9
Sibiu	6.89	91.7	24	1.0
Tulcea	8.61	100.0	5	0.4
Vaslui	8.03	92.9	14	0.6
Brașov	8.40	100.0	16	0.5
Botoșani	7.31	92.9	14	0.5
Dolj	8.01	95.0	20	0.5
Ilfov	6.89	84.9	86	7.9
Bihor	8.50	100.0	31	0.9
Harghita	6.48	79.2	48	2.3
Buzău	7.02	72.2	18	0.7
Ialomița	7.91	100.0	7	0.5
Giurgiu	6.52	78.2	78	7.1
Satu-Mare	7.78	94.1	17	0.9
