București	7.70	96.3	587	3.5
Prahova	8.22	98.6	71	1.3
Bacău	8.03	98.0	50	1.3
Dâmbovița	7.92	95.2	83	2.8
Argeș	8.02	97.7	87	2.1
Botoșani	8.05	100.0	21	0.8
Brăila	8.11	100.0	30	1.8
Teleorman	7.84	90.9	22	1.1
Bistrița-Năsăud	8.59	93.8	16	0.9
Galați	8.24	100.0	28	0.9
Hunedoara	6.92	89.1	64	2.7
Bihor	7.92	99.1	111	3.1
Neamț	7.93	100.0	45	1.4
Vâlcea	8.27	100.0	32	1.3
Constanța	6.98	85.5	165	3.4
Ialomița	7.26	95.5	44	2.8
Suceava	7.33	95.5	66	1.3
Alba	8.02	100.0	20	0.9
Sibiu	7.65	100.0	23	0.9
Vrancea	7.27	87.7	57	2.6
Satu-Mare	7.87	100.0	56	3.0
Buzău	7.81	92.2	51	2.0
Gorj	7.26	95.5	66	2.3
Sălaj	7.58	100.0	44	2.9
Iași	7.70	96.6	59	1.1
Mehedinți	7.92	100.0	12	0.7
Giurgiu	7.24	85.7	21	1.8
Cluj	7.64	93.5	93	2.2
Dolj	7.33	89.5	19	0.5
Harghita	7.14	98.3	58	2.7
Olt	8.32	100.0	21	0.9
Vaslui	7.96	92.9	28	1.1
Arad	7.57	99.1	111	4.0
Călărași	6.35	81.6	103	7.5
Mureș	7.76	100.0	74	2.2
Brașov	7.46	100.0	27	0.8
Caraș-Severin	5.98	71.0	31	1.8
Maramureș	7.26	93.5	46	1.4
Timiș	7.19	94.3	70	1.6
Tulcea	8.58	100.0	3	0.3
Ilfov	6.97	89.5	19	1.6
Covasna	7.60	100.0	25	2.1
